,company_name,num_employees,past_companies,past_schools,category_groups,headquarters_location,crunchbase_rank,last_funding_type,last_funding_amount,total_funding_amount,trend_score,categories,founded_date,status,last_funding_date,total_equity_funding_amount,time_since_last_funding,funding_ratio,score
855,M.Gemi,63,"Rue La La, Zipcar, Birchbox, M.Gemi, Quidsi Inc., a subsidiary of Amazon","Boston University, Harvard Business School, Fashion Institute of Technology, Northeastern University, University of Massachusetts Amherst","Commerce and Shopping, Clothing and Apparel, Design","New York, New York, United States",3393,Series C,"$16,000,000",52000000,-1.8,"Retail, Fashion, E-Commerce",01/01/2014,Operating,06/20/2017,48000000,0.41,48,0.899
857,Mist Systems,78,"Cisco, Motorola Mobility (a Lenovo Company), Airespace, Trinity College-Hartford, BlueJeans Network","San Jose State University, University of California Berkeley, Udacity, Santa Clara University, California Polytechnic State University-San Luis Obispo","Hardware, Information Technology, Mobile","Cupertino, California, United States",3395,Series B,"$28,000,000",42400000,-0.6,"IT Infrastructure, Wireless",01/01/2014,Operating,10/11/2016,42400000,1.1,42.4,0.891
858,Singular,93,"Seavus, Bank Republic, Singular, Spribe, Leavingstone","Univerzitet 'Sv. Kiril i Metódij' vo Skopje, Ivane Javahišvilis Sakhelobis Tbilisis Sakhelmtsipo Universiteti, The University of Georgia, University of East London, Caucasus University","Software, Sales and Marketing, Advertising","San Francisco, California, United States",3397,Series A,"$15,000,000",20000000,-1.8,"Marketing Automation, SaaS, Advertising",01/01/2014,Operating,11/10/2016,20000000,1.02,20,0.892
859,Lucid,114,"Lucid, Medicus International, GSK, PAREXEL, UCB","King's College London, The University of Manchester, UCL, University of Oxford, University of Cambridge","Energy, Information Technology, Sustainability, Data and Analytics, Software, Internet Services, Design","Oakland, California, United States",3408,Series B,"$14,000,000",31328859,-0.6,"Energy Management, Enterprise Software, Energy Efficiency, Internet of Things, Big Data, SaaS, Analytics, Data Visualization",01/01/2004,Operating,05/07/2015,15500000,2.53,15.5,0.838
860,Mark43,110,"Dataminr, Mark43, Deloitte, S&P Global Market Intelligence, Goldman Sachs","Harvard University, The George Washington University, Columbia University in the City of New York, Carnegie Mellon University, New York University","Information Technology, Data and Analytics, Software, Government and Military, Internet Services, Privacy and Security","New York, New York, United States",3417,Series B,"$27,000,000",39825000,-0.8,"Software, GovTech, Law Enforcement, Analytics, Cloud Computing",02/01/2012,Operating,04/27/2016,39750000,1.56,39.75,1.177
861,Ginger.io,62,"Ginger.io, Fortunecity.com, MIT Media Lab, Massachusetts Institute of Technology, GSN (TV & Games)","Massachusetts Institute of Technology, Arizona State University, Stanford University, University of California Santa Barbara, Yale University","Data and Analytics, Health Care, Mobile","San Francisco, California, United States",3423,Series B,"$20,000,000",28200000,-1.1,"Big Data, Health Care, mHealth, Mobile, Analytics",01/01/2011,Operating,12/23/2014,28200000,2.9,28.2,0.826
862,ZEFR,322,"ZEFR, MOVIECLIPS.com, Yahoo! Inc., Initiative, PriceGrabber.com","University of California Los Angeles, Brigham Young University, University of Southern California, University of California Santa Barbara, Asbury University","Media and Entertainment, Software, Internet Services, Video","Venice, California, United States",3430,Series E,"$5,000,000",65062378,-0.4,"Film, Internet, Video, Enterprise Software",12/02/2009,Operating,03/09/2016,64912378,1.69,64.912,0.873
863,UserTesting,570,"UserTesting, University of California San Diego, Microsoft, Apple, Marketo","University of California San Diego, University of California Santa Cruz, Michigan State University, San Francisco State University, Stanford University","Data and Analytics, Internet Services","Mountain View, California, United States",3431,Series C,"$45,500,000",48500000,-0.5,"Test and Measurement, Internet, Crowdsourcing",01/01/2007,Operating,01/28/2015,48500000,2.81,48.5,0.829
864,Weaveworks,32,"VMware, Canonical Ltd., Cisco, J.P. Morgan, Pivotal","University of Oxford, University of Southampton, ETH Zurich, INSA Lyon - Institut National des Sciences Appliquées de Lyon, University of Nottingham","Hardware, Information Technology, Software, Internet Services","London, England, United Kingdom",3435,Series B,"$15,000,000",20000000,-0.1,"Data Center, Cloud Computing, Enterprise Software, Developer Platform, Open Source",07/10/2014,Operating,05/11/2016,20000000,1.52,20,0.878
865,Credit Karma,685,"Credit Karma, Google, Twitter, IBM, Microsoft","University of California Berkeley, San Francisco State University, University of California Davis, University of California Los Angeles, Stanford University","Financial Services, Lending and Investments","San Francisco, California, United States",3442,Series D,"$175,000,000",368000000,-4.3,"FinTech, Credit, Personal Finance, Finance",03/08/2007,Operating,06/23/2015,368000000,2.41,368,1.19
866,Kinnek,54,"JPMorgan Chase & Co., Amplify, Kinnek, Rakuten Marketing, Thomson Reuters","University of Pennsylvania, University of Maryland College Park, The Wharton School, University of California Berkeley, Northwestern University","Sales and Marketing, Transportation, Advertising","New York, New York, United States",3454,Series B,"$20,000,000",31500000,-0.7,"Procurement, Small and Medium Businesses, B2B, Advertising",03/01/2012,Operating,10/15/2015,31500000,2.09,31.5,1.081
867,CodeFights,29,"Tesla, CQG Inc., General Assembly, CodeFights, Google","Yerevan State University, American University of Armenia, Victoria University of Wellington, Saint Petersburg State University, San Jose State University","Professional Services, Education, Internet Services","San Francisco, California, United States",3476,Series A,"$10,000,000",12500000,-1,"Recruiting, Internet, Education",06/01/2014,Operating,11/17/2016,12500000,1,12.5,0.892
869,Buoyant,17,"Twitter, Gracenote, SoundCloud, Oracle, Cisco","Stanford University, University of California Berkeley, Massachusetts Institute of Technology, Universidade Estácio de Sá, International University in Germany",Software,"San Francisco, California, United States",3480,Series A,"$10,500,000",13999990,3.2,"Infrastructure, Enterprise Software",02/09/2015,Operating,07/11/2017,13999990,0.35,14,1.348
870,Anchor,195,"Coldwell Banker Residential Brokerage, Royal Holloway Students' Union, City of Casey, Brentford Football Club, Hewlett Packard Enterprise","Royal Holloway, University of London, Penn State University, La Trobe University, Monash University, Bishop's University","Apps, Media and Entertainment, Music and Audio, Software, Internet Services, Video","New York, New York, United States",3483,Series Unknown,"$2,800,000",4400000,-0.6,"Apps, Podcast, Internet, Broadcasting, Audio",01/01/2015,Operating,03/07/2017,4400000,0.7,4.4,0.802
871,BitGo,23,"Microsoft, Google, Michael Wessel Informationstechnologie GmbH, IBM, Motorola Mobility (a Lenovo Company)","California Polytechnic State University-San Luis Obispo, San Jose State University, Karlsruhe Institute of Technology (KIT), UNSW, Universidad de Costa Rica","Commerce and Shopping, Software, Payments, Internet Services, Privacy and Security, Financial Services","Palo Alto, California, United States",3491,Series Unknown,,12000000,-1.5,"Security, Internet, Bitcoin, Financial Services, E-Commerce",01/01/2013,Operating,09/04/2014,12000000,3.21,12,0.816
872,Verst,33,"Microsoft, Google, Stanford University, Twitter, Booker Software","Cornell University, Quinnipiac University, Massachusetts Institute of Technology, Columbia University in the City of New York, New York University - Polytechnic School of Engineering","Apps, Media and Entertainment, Software, Content and Publishing, Mobile","New York, New York, United States",3492,Series A,"$12,000,000",12000000,0.7,"Mobile, Content, Blogging Platforms, Web Apps, Publishing",01/01/2014,Operating,09/17/2015,12000000,2.17,12,1.077
873,Genalyte,67,"Life Technologies, Genalyte Inc., Tokyo Electron US, CareFusion, Blue Shield of California","University of California San Diego, San Diego State University, Fundación Universidad de Bogotá 'JorgeTadeo Lozano'​, University of San Diego, Columbia Southern University","Biotechnology, Science and Engineering, Health Care","San Diego, California, United States",3494,Series D,"$36,000,000",91800000,1.8,"Biotechnology, Health Care, Hospital",01/01/2007,Operating,11/20/2016,91800000,0.99,91.8,0.895
874,Affirmed Networks,350,"Nokia, Cisco, Nortel Networks, Sonus, Airvana","Northeastern University, University of Massachusetts Lowell, Visvesvaraya Technological University, University of Massachusetts Amherst, Birla Institute of Technology and Science, Pilani","Hardware, Consumer Electronics, Mobile","Acton, Massachusetts, United States",3495,Series C,"$51,000,000",116990000,-0.1,"Mobile, Mobile Devices, Wireless",01/01/2010,Operating,06/05/2013,116990000,4.45,116.99,0.704
876,Matternet,23,"Apple, Rafter Inc., Siemens Healthineers, Center for the Application of Information Technologies (CAIT), Matternet Inc","Stanford University, University of Illinois at Urbana-Champaign, University of Maryland College Park, Massachusetts Institute of Technology, University of Pennsylvania",Information Technology,"San Jose, California, United States",7163,Series A,"$7,800,000",7800000,-0.7,Information Technology,01/01/2013,Operating,07/26/2016,7800000,1.31,7.8,1.341
877,"Two Pore Guys, Inc.",55,"University of California, Santa Cruz, Plantronics, Brown University, iXsystems, Two Pore Guys Inc.","University of California Santa Cruz, University of Washington, University of California Los Angeles, University of Toronto, University of Science and Technology of China","Biotechnology, Science and Engineering","Santa Cruz, California, United States",3506,Series A,"$24,500,000",29683662,-1.2,Biotechnology,08/08/2011,Operating,04/25/2017,29683662,0.56,29.684,0.898
878,Good Eggs,131,"Good Eggs, Whole Foods Market, Carbon Five, Google, Starbucks","San Francisco State University, University of California Berkeley, Wesleyan University, Yale University, Université de Montréal","Commerce and Shopping, Food and Beverage, Administrative Services","San Francisco, California, United States",3527,Series C,"$15,000,000",46500000,-0.7,"Delivery, E-Commerce, Organic Food",07/01/2011,Operating,07/27/2016,46500000,1.31,46.5,0.886
879,VarageSale,50,"VarageSale, BlackBerry, Kijiji Canada, Mercatus Technologies Inc., FreshBooks","University of Waterloo, Western University, Seneca College, University of Windsor, Wilfrid Laurier University","Commerce and Shopping, Internet Services","Toronto, Ontario, Canada",3538,Series B,"$34,000,000",59300000,-0.2,"Internet, Marketplace, Consumer",01/01/2012,Operating,04/02/2015,59300000,2.63,59.3,1.098
880,PCH International,398,"PCH International, Foxconn, Flex, Best Buy, Stobart Air","Shenzhen University, University College Cork, South China University of Technology, Guangdong University of Foreign Studies, Guangdong University of Technology","Hardware, Consumer Electronics, Software, Transportation","San Francisco, California, United States",3550,Series C,"$30,000,000",77000000,-0.1,"Software, Consumer Electronics, Supply Chain Management, Hardware",01/01/1996,Operating,06/07/2011,77000000,6.45,77,0.785
882,FAASOS,469,"FAASOS, Domino's, Ola (ANI Technologies Pvt. Ltd), McDonald's, Jubilant FoodWorks Ltd.","University of Pune, University of Mumbai, Kendriya Vidyalaya, Mumbai University Mumbai, Indira Gandhi National Open University","Commerce and Shopping, Food and Beverage, Health Care","Beijing, Beijing, China",22487,Series C,,40000000,1,"Shopping, E-Commerce, Women's, Dietary Supplements",01/01/2008,Operating,02/01/2014,40000000,3.79,40,0.805
883,Plum,60,"Informix Software, Cygnus Ltd., bebe stores, Business Objects, Sybase","Saurashtra University, Tokyo University of Science, The George Washington University - School of Business, The Johns Hopkins University","Travel and Tourism, Hardware, Consumer Electronics, Real Estate, Food and Beverage","Dania, Florida, United States",3561,Series A,"$9,000,000",9000000,8.9,"SaaS, Hotel, Home and Garden, Wine And Spirits, Consumer Electronics",01/01/2015,Operating,07/13/2017,9000000,0.35,9,0.992
884,FLYR,37,"FLYR Inc., Vodafone, JetBlue Airways, Iris Financial, Expedia Inc.","San Jose State University, University of San Francisco, INSEAD, Stanford University, Harvard University","Travel and Tourism, Data and Analytics, Software, Artificial Intelligence","San Francisco, California, United States",3563,Series A,"$8,000,000",15342686,-0.8,"Predictive Analytics, Big Data, Travel",01/01/2013,Operating,01/18/2017,15342686,0.83,15.343,0.895
