Organization/Person Name,Organization/Person Name URL,Number of Investments,Number of Exits,Location,Description,CB Rank (Investor),Trend Score (90 Days),Investor Type,Investment Stage
Global Founders Capital,/organization/global-founders-capital,160,14,"Berlin, Berlin, Germany","GFC is a globally oriented, stage agnostic venture fund that empowers gifted entrepreneurs world-wide.",153,4,Venture Capital,"Seed, Early Stage Venture, Late Stage Venture"
Omidyar Network,/organization/omidyar-network,188,14,"Redwood City, California, United States",Omidyar Network is an investment firm.,190,-1.2,Family Investment Office,"Seed, Early Stage Venture, Late Stage Venture, Grant"
National Institutes of Health,/organization/national-institutes-of-health,118,14,"Bethesda, Maryland, United States",National Institutes of Health is a biomedical research facility in the United States that focuses on biomedical and health-related research.,292,9.3,Government Office,"Seed, Grant"
NewSpring Capital,/organization/newspring-capital,73,14,"Radnor, Pennsylvania, United States",NewSpring Capital is focused on leveraging operational expertise and capital to build market leading companies,321,9.7,Private Equity Firm,"Early Stage Venture, Late Stage Venture, Private Equity"
Wayra,/organization/wayra,954,14,"Madrid, Madrid, Spain","Wayra, Telefonica Open Future´s start-up accelerator, promotes entrepreneurship and accelerates disruptive start-ups in Europe and Latam.",330,-0.4,Accelerator,Seed
Ashton Kutcher,/person/ashton-kutcher,60,14,"Los Angeles, California, United States","Ashton Kutcher is an actor, tech investor and producer. In 2011, Kutcher created a venture fund, A-Grade Investments, with Ron Burkle and Gu...",338,-0.5,"Investment Partner, Individual/Angel",Seed
Iris Capital,/organization/iris-capital,92,14,"Paris, Ile-de-France, France","Iris Capital is a leading pan-european venture capital financing seed, early, and later stage digital startups",757,8.3,Venture Capital,"Seed, Early Stage Venture, Late Stage Venture"
TPG Growth,/organization/tpg-growth,62,14,"San Francisco, California, United States",TPG Growth specializes in growth equity and middle-market buyout opportunities.,"1,160",2.9,Private Equity Firm,"Early Stage Venture, Late Stage Venture, Private Equity, Debt"
Qiming Venture Partners,/organization/qiming-venture-partners,281,14,"Shanghai, Shanghai, China",Qiming Venture Partners is a China-based venture capital firm specialized in building new companies in China.,"1,198",-3.7,Venture Capital,"Early Stage Venture, Late Stage Venture, Private Equity, Post-Ipo"
Accel-KKR,/organization/accel-kkr,37,14,"Menlo Park, California, United States","Accel-KKR is an American, technology-focused private equity firm specialized in growth and middle market investments.","1,357",8.3,Private Equity Firm,"Late Stage Venture, Private Equity, Debt, Post-Ipo"
Altos Ventures,/organization/altos-ventures,148,14,"Menlo Park, California, United States",Altos Ventures is a first-stage venture capital firm.,"1,892",3.1,Venture Capital,"Seed, Early Stage Venture, Late Stage Venture, Debt"
NextView Ventures,/organization/nextview-ventures,101,14,"Boston, Massachusetts, United States",Seed-stage VC for founders redesigning the Everyday Economy.,"1,903",-2.6,Venture Capital,"Seed, Debt"
Advancit Capital,/organization/advancit-capital,95,14,"Norwood, Massachusetts, United States","Advancit Capital focuses on early stage companies at the intersection of media, entertainment and technology.","1,998",-0.1,Micro VC,"Seed, Early Stage Venture, Debt"
AllianceBernstein,/organization/alliancebernstein,32,14,"New York, New York, United States","AllianceBernstein is a publicly traded global asset management firm, with approximately $735 billion in assets under management at March","2,039",1.9,Venture Capital,"Early Stage Venture, Late Stage Venture"
Mercury Fund,/organization/mercury-fund,124,14,"Houston, Texas, United States","Mercury Fund is an early-stage venture capital firm. With over $200 million under management, Mercury invests in the middle of the U.S.","2,112",5.1,Venture Capital,Early Stage Venture
GP Bullhound,/organization/gp-bullhound,53,14,"London, England, United Kingdom","GP Bullhound provides strategic advice on mergers & acquisitions and private placements to entrepreneurs, companies, and investors.","2,366",0.2,Investment Bank,"Early Stage Venture, Late Stage Venture, Secondary Market"
Start-Up Chile,/organization/start-up-chile,749,14,"Santiago, Region Metropolitana, Chile",Start-Up Chile is a program of the Chilean government to attract high-potential entrepreneurs to bootstrap their startups in Chile.,"2,461",-2.1,Accelerator,"Seed, Early Stage Venture, Grant"
Boldstart Ventures,/organization/boldstart-ventures,73,14,"New York, New York, United States",Boldstart Ventures is a first check investor for enterprise founders.,"2,557",-0.3,Venture Capital,Seed
BioAdvance,/organization/bioadvance,179,14,"Philadelphia, Pennsylvania, United States","Founded in 2003, BioAdvance provides funding to life sciences startups and is a Pennsylvania-based venture capital firm.","2,582",6.1,Venture Capital,"Seed, Early Stage Venture, Late Stage Venture"
CRCM Ventures,/organization/china-rock-capital,83,14,"San Francisco, California, United States",CRCM Ventures invests in seed and early stage companies in United States and China.,"2,981",-2.5,Venture Capital,"Seed, Early Stage Venture"
Susquehanna Growth Equity,/organization/susquehanna-growth-equity,46,14,"Bala Cynwyd, Pennsylvania, United States","SGE invests in growth stage technology companies in the software, information services, internet and financial technology sectors.","3,862",-0.3,Private Equity Firm,"Early Stage Venture, Late Stage Venture, Private Equity"
Artiman Ventures,/organization/artiman-ventures,77,14,"East Palo Alto, California, United States","White space investments: Rare, precious and cutting edge, with brilliant disruptive ideas. We partner with you.","3,912",-0.4,Venture Capital,"Seed, Early Stage Venture, Late Stage Venture"
Kevin Rose,/person/kevin-rose,21,14,"New York, New York, United States","Kevin Rose is CEO of HODINKEE, and on the advisory board of the Tony Hawk Foundation, Google Ventures, and Harlan Estate. Previously Kevin f...","4,304",1.5,"Investment Partner, Individual/Angel",Seed
Garry Tan,/person/garry-tan,57,14,"San Francisco, California, United States","Garry Tan is a Managing Partner at Initialized Capital, an early stage seed fund with over $160M under management. He was previously part...","4,829",-2.8,"Investment Partner, Individual/Angel",Seed
EcoR1 Capital,/organization/ecor1-capital,22,14,"San Francisco, California, United States",EcoR1 Capital is a biotech-focused investment advisory firm.,"4,947",0,Venture Capital,"Early Stage Venture, Late Stage Venture"
Trinity Capital Investment,/organization/trinity-capital-investment,75,14,"Chandler, Arizona, United States",Leading provider of venture loans and leases for emerging growth startup companies seeking access to capital while preserving equity,"5,229",-2.7,Venture Debt,"Seed, Debt"
Forbion Capital Partners,/organization/forbion-capital-partners,50,14,"Naarden, Noord-Holland, The Netherlands",Forbion Capital Partners is a private equity and venture capital firm for making investments in buyouts.,"6,447",-2.2,Venture Capital,"Early Stage Venture, Late Stage Venture"
Draper Triangle,/organization/draper-triangle-ventures,54,14,"Pittsburgh, Pennsylvania, United States",Draper Triangle Ventures is the Midwest-based Network Partner of the Draper Venture Network,"6,992",-0.5,Venture Capital,
Soros Private Equity Partners LLC,/organization/soros-private-equity-partners-llc,23,14,"London, England, United Kingdom",Soros Private Equity Partners is a New York-based private equity investment firm that supports growth companies in the U.S. and Europe.,"7,161",0.9,,
DeNovo Ventures,/organization/denovo-ventures,89,14,"Saratoga, California, United States",DeNovo Ventures was formed in 2000 by seasoned investors and experienced medical device entrepreneurs who sought to share the lessons,"7,558",-0.3,Venture Capital,"Early Stage Venture, Late Stage Venture, Private Equity, Debt"
CIBC World Markets,/organization/cibc-world-markets,24,14,"New York, New York, United States",CIBC World Markets is a Canadian investment banking subsidiary that operates in the international equity and debt capital markets.,"7,896",-0.4,Investment Bank,"Early Stage Venture, Late Stage Venture"
Pilot House Ventures,/organization/pilot-house-ventures,53,14,"Boston, Massachusetts, United States","Pilot House Ventures is a Boston, Massachusetts-based venture capital firm that invests in promising early stage technology companies,","7,919",-0.4,Venture Capital,"Early Stage Venture, Late Stage Venture"
ePlanet Capital,/organization/dfj-eplanet-ventures,45,14,"San Jose, California, United States","EPlanet Capital provides venture capital and investment for telecom, media, and technology companies.","8,738",-0.2,Venture Capital,"Early Stage Venture, Late Stage Venture, Private Equity"
GrandBanks Capital,/organization/grandbanks-capital,65,14,"Needham, Massachusetts, United States","GrandBanks Capital is an early-stage venture capital firm that invests in wireless and mobile technologies, digital media, web-based","9,126",-0.6,Venture Capital,"Seed, Early Stage Venture, Late Stage Venture, Debt"
Cardinal Venture Capital,/organization/cardinal-venture-capital,54,14,"Menlo Park, California, United States","Cardinal Venture Capital invests in early stage technology companies in the areas of Digital Media, Financial Technology, Mobility and","10,761",-0.6,Venture Capital,"Early Stage Venture, Late Stage Venture, Private Equity, Debt"
Tudor Investments,/organization/tudor-investments,47,14,"Greenwich, Connecticut, United States","Founded in 1980 by Paul Tudor Jones II, the firm currently manages $21 billion. The firm's investment strategies include global macro","12,372",-0.4,Venture Capital,"Early Stage Venture, Late Stage Venture"
Red Rock Ventures,/organization/red-rock-ventures,52,14,"Palo Alto, California, United States",Red Rock Ventures is a venture capital investment firm that invests in seed and early-stage information technology companies.,"13,048",-0.5,Venture Capital,"Seed, Early Stage Venture, Late Stage Venture"
Axiom Ventures,/organization/axiom-ventures,30,14,"Hartford, Connecticut, United States","Axiom Ventures is a financial organisation which targets its investments in the high technology(communications, software, Internet","13,351",-0.5,Venture Capital,"Late Stage Venture, Private Equity"
Lazard Technology Partners,/organization/lazard-technology-partners,38,14,"New York, New York, United States",Lazard Technology Partners pursues investment in information technology and technology-enabled businesses and is a venture firm in New York.,"13,409",-0.6,Investment Bank,"Early Stage Venture, Late Stage Venture"
"Thomas, McNerney & Partners",/organization/thomas-mcnerney-partners,45,14,"Stamford, Connecticut, United States","Thomas, McNerney & Partners is a health care venture capital firm with approximately $600 million under management focused on investing in","14,333",-0.6,Venture Capital,"Early Stage Venture, Late Stage Venture"
